Dataset,d (qubits),Kernel,Feature map,Depth,Entanglement,Centered?,Delta test acc,Delta offdiag p50,Delta offdiag p95,Delta eff rank,CI95 Delta test acc,CI95 Delta offdiag p50,CI95 Delta offdiag p95,CI95 Delta eff rank,Baseline test acc,Baseline offdiag p50,Baseline eff rank
star_classification,10,local,zz_qiskit,1,linear,False,0.0,0.2464195428648379,0.3406333478931742,-1781.8908847984007,,,,,0.75,0.00022052348521463486,1985.483917575117
star_classification,12,local,zz_qiskit,1,linear,False,0.0,0.2471461771677067,0.3325035650645988,-1772.196705477324,,,,,0.75,4.085468141682728e-05,1998.6047294467444
star_classification,14,local,zz_qiskit,1,linear,False,0.0,0.24770064170212525,0.32520396183390043,-1754.6188276653215,,,,,0.75,7.569989736521173e-06,1999.8563237129883
star_classification,16,local,zz_qiskit,1,linear,False,0.0,0.24801932647570232,0.3187221195055937,-1738.4370696291342,,,,,0.75,1.414826456900412e-06,1999.9821670934725
star_classification,18,local,zz_qiskit,1,linear,False,0.04583333333333339,0.24999059523596448,0.32093077059017294,-1735.8124788708221,,,,,0.75,1.4136209414446823e-07,1999.9571533117323
star_classification,20,local,zz_qiskit,1,linear,False,0.04749999999999999,0.24985096455642453,0.3174085640531026,-1727.3877441579148,,,,,0.75,2.7049107040248965e-08,1999.9717330795283
star_classification,4,multiscale,zz_qiskit,1,linear,False,0.0008333333333333526,0.1289511544414288,0.14672761659925546,-69.4119971557072,,,,,0.7491666666666666,0.03496570569719514,145.0214110124177
star_classification,6,multiscale,zz_qiskit,1,linear,False,0.0033333333333332993,0.14553449706304344,0.19795738816411992,-796.8041063371204,,,,,0.7466666666666667,0.00643814957312452,1140.5769317423085
star_classification,8,multiscale,zz_qiskit,1,linear,False,0.004166666666666763,0.14999897683710572,0.20917918098127142,-1319.5095456066276,,,,,0.7458333333333332,0.001189568004464323,1868.2819343589629
star_classification,10,multiscale,zz_qiskit,1,linear,False,0.0,0.15203987876498976,0.20829553421737684,-1362.8992399594354,,,,,0.75,0.00022052348521463486,1985.483917575117
star_classification,12,multiscale,zz_qiskit,1,linear,False,-0.0024999999999999467,0.15325023963764556,0.20472654446744398,-1341.232243452649,,,,,0.75,4.085468141682728e-05,1998.6047294467444
star_classification,14,multiscale,zz_qiskit,1,linear,False,-0.0050000000000000044,0.15425094652247262,0.20128525308133013,-1319.9558816095055,,,,,0.75,7.569989736521173e-06,1999.8563237129883
star_classification,16,multiscale,zz_qiskit,1,linear,False,-0.007499999999999951,0.1549596264491344,0.19811252485746159,-1302.166872194864,,,,,0.75,1.414826456900412e-06,1999.9821670934725
star_classification,18,multiscale,zz_qiskit,1,linear,False,0.05166666666666675,0.15631177205858124,0.19966985799355488,-1303.0137980647028,,,,,0.75,1.4136209414446823e-07,1999.9571533117323
star_classification,20,multiscale,zz_qiskit,1,linear,False,0.05500000000000005,0.1568789434284108,0.19805321805199896,-1294.1493935576964,,,,,0.75,2.7049107040248965e-08,1999.9717330795283
